postcode,gemeente,provincie,gewest
1476,Genappe,,Waals Gewest
1480,Tubize,,Waals Gewest
1490,Court-Saint-Étienne,,Waals Gewest
1495,Villers-la-Ville,,Waals Gewest
1500,Halle,Vlaams-Brabant,Vlaams Gewest
1501,Halle,Vlaams-Brabant,Vlaams Gewest
1502,Halle,Vlaams-Brabant,Vlaams Gewest
1540,Herne,Vlaams-Brabant,Vlaams Gewest
1541,Herne,Vlaams-Brabant,Vlaams Gewest
1547,Bever,Vlaams-Brabant,Vlaams Gewest
1560,Hoeilaart,Vlaams-Brabant,Vlaams Gewest
1570,Galmaarden,Vlaams-Brabant,Vlaams Gewest
1600,Sint-Pieters-Leeuw,Vlaams-Brabant,Vlaams Gewest
1601,Sint-Pieters-Leeuw,Vlaams-Brabant,Vlaams Gewest
1602,Sint-Pieters-Leeuw,Vlaams-Brabant,Vlaams Gewest
1620,Drogenbos,Vlaams-Brabant,Vlaams Gewest
1630,Linkebeek,Vlaams-Brabant,Vlaams Gewest
1640,Sint-Genesius-Rode,Vlaams-Brabant,Vlaams Gewest
1650,Beersel,Vlaams-Brabant,Vlaams Gewest
1651,Beersel,Vlaams-Brabant,Vlaams Gewest
1652,Beersel,Vlaams-Brabant,Vlaams Gewest
1653,Beersel,Vlaams-Brabant,Vlaams Gewest
1654,Beersel,Vlaams-Brabant,Vlaams Gewest
1670,Pepingen,Vlaams-Brabant,Vlaams Gewest
1671,Pepingen,Vlaams-Brabant,Vlaams Gewest
1673,Pepingen,Vlaams-Brabant,Vlaams Gewest
1674,Pepingen,Vlaams-Brabant,Vlaams Gewest
1700,Dilbeek,Vlaams-Brabant,Vlaams Gewest
1701,Dilbeek,Vlaams-Brabant,Vlaams Gewest
1702,Dilbeek,Vlaams-Brabant,Vlaams Gewest
1703,Dilbeek,Vlaams-Brabant,Vlaams Gewest
1730,Asse,Vlaams-Brabant,Vlaams Gewest
1731,Asse,Vlaams-Brabant,Vlaams Gewest
1733,Asse,Vlaams-Brabant,Vlaams Gewest
1740,Ternat,Vlaams-Brabant,Vlaams Gewest
1741,Ternat,Vlaams-Brabant,Vlaams Gewest
1742,Ternat,Vlaams-Brabant,Vlaams Gewest
1745,Opwijk,Vlaams-Brabant,Vlaams Gewest
1750,Lennik,Vlaams-Brabant,Vlaams Gewest
1755,Gooik,Vlaams-Brabant,Vlaams Gewest
1760,Roosdaal,Vlaams-Brabant,Vlaams Gewest
1761,Roosdaal,Vlaams-Brabant,Vlaams Gewest
1770,Liedekerke,Vlaams-Brabant,Vlaams Gewest
1780,Wemmel,Vlaams-Brabant,Vlaams Gewest
1785,Merchtem,Vlaams-Brabant,Vlaams Gewest
1790,Affligem,Vlaams-Brabant,Vlaams Gewest
1800,Vilvoorde,Vlaams-Brabant,Vlaams Gewest
1804,Vilvoorde,Vlaams-Brabant,Vlaams Gewest
1820,Steenokkerzeel,Vlaams-Brabant,Vlaams Gewest
1830,Machelen,Vlaams-Brabant,Vlaams Gewest
1831,Machelen,Vlaams-Brabant,Vlaams Gewest
1840,Londerzeel,Vlaams-Brabant,Vlaams Gewest
1850,Grimbergen,Vlaams-Brabant,Vlaams Gewest
1851,Grimbergen,Vlaams-Brabant,Vlaams Gewest
1852,Grimbergen,Vlaams-Brabant,Vlaams Gewest
1853,Grimbergen,Vlaams-Brabant,Vlaams Gewest
1860,Meise,Vlaams-Brabant,Vlaams Gewest
1861,Meise,Vlaams-Brabant,Vlaams Gewest
1880,Kapelle-op-den-Bos,Vlaams-Brabant,Vlaams Gewest
1910,Kampenhout,Vlaams-Brabant,Vlaams Gewest
1930,Zaventem,Vlaams-Brabant,Vlaams Gewest
1931,Machelen,Vlaams-Brabant,Vlaams Gewest
1932,Zaventem,Vlaams-Brabant,Vlaams Gewest
1933,Zaventem,Vlaams-Brabant,Vlaams Gewest
1934,Machelen,Vlaams-Brabant,Vlaams Gewest
1935,Zaventem,Vlaams-Brabant,Vlaams Gewest
1950,Kraainem,Vlaams-Brabant,Vlaams Gewest
1970,Wezembeek-Oppem,Vlaams-Brabant,Vlaams Gewest
1980,Zemst,Vlaams-Brabant,Vlaams Gewest
1981,Zemst,Vlaams-Brabant,Vlaams Gewest
1982,Zemst,Vlaams-Brabant,Vlaams Gewest
2000,Antwerpen,Antwerpen,Vlaams Gewest
2018,Antwerpen,Antwerpen,Vlaams Gewest
2020,Antwerpen,Antwerpen,Vlaams Gewest
2030,Antwerpen,Antwerpen,Vlaams Gewest
2040,Antwerpen,Antwerpen,Vlaams Gewest
2050,Antwerpen,Antwerpen,Vlaams Gewest
2060,Antwerpen,Antwerpen,Vlaams Gewest
2070,Zwijndrecht,Antwerpen,Vlaams Gewest
2099,Antwerpen,Antwerpen,Vlaams Gewest
2100,Antwerpen,Antwerpen,Vlaams Gewest
2110,Wijnegem,Antwerpen,Vlaams Gewest
2140,Antwerpen,Antwerpen,Vlaams Gewest
2150,Borsbeek,Antwerpen,Vlaams Gewest
2160,Wommelgem,Antwerpen,Vlaams Gewest
2170,Antwerpen,Antwerpen,Vlaams Gewest
2180,Antwerpen,Antwerpen,Vlaams Gewest
2200,Herentals,Antwerpen,Vlaams Gewest
2220,Heist-op-den-Berg,Antwerpen,Vlaams Gewest
2221,Heist-op-den-Berg,Antwerpen,Vlaams Gewest
2222,Heist-op-den-Berg,Antwerpen,Vlaams Gewest
2223,Heist-op-den-Berg,Antwerpen,Vlaams Gewest
2230,Herselt,Antwerpen,Vlaams Gewest
2235,Hulshout,Antwerpen,Vlaams Gewest
2240,Zandhoven,Antwerpen,Vlaams Gewest
2242,Zandhoven,Antwerpen,Vlaams Gewest
2243,Zandhoven,Antwerpen,Vlaams Gewest
2250,Olen,Antwerpen,Vlaams Gewest
2260,Westerlo,Antwerpen,Vlaams Gewest
2270,Herenthout,Antwerpen,Vlaams Gewest
2275,Lille,Antwerpen,Vlaams Gewest
2280,Grobbendonk,Antwerpen,Vlaams Gewest
2288,Grobbendonk,Antwerpen,Vlaams Gewest
2290,Vorselaar,Antwerpen,Vlaams Gewest
2300,Turnhout,Antwerpen,Vlaams Gewest
2310,Rijkevorsel,Antwerpen,Vlaams Gewest
2320,Hoogstraten,Antwerpen,Vlaams Gewest
2321,Hoogstraten,Antwerpen,Vlaams Gewest
2323,Hoogstraten,Antwerpen,Vlaams Gewest
2328,Hoogstraten,Antwerpen,Vlaams Gewest
2330,Merksplas,Antwerpen,Vlaams Gewest
2340,Beerse,Antwerpen,Vlaams Gewest
2350,Vosselaar,Antwerpen,Vlaams Gewest
2360,Oud-Turnhout,Antwerpen,Vlaams Gewest
2370,Arendonk,Antwerpen,Vlaams Gewest
2380,Ravels,Antwerpen,Vlaams Gewest
2381,Ravels,Antwerpen,Vlaams Gewest
2382,Ravels,Antwerpen,Vlaams Gewest
2387,Baarle-Hertog,Antwerpen,Vlaams Gewest
2390,Malle,Antwerpen,Vlaams Gewest
2400,Dessel,Antwerpen,Vlaams Gewest
2430,Laakdal,Antwerpen,Vlaams Gewest
2431,Laakdal,Antwerpen,Vlaams Gewest
2440,Geel,Antwerpen,Vlaams Gewest
2450,Meerhout,Antwerpen,Vlaams Gewest
2460,Kasterlee,Antwerpen,Vlaams Gewest
2470,Retie,Antwerpen,Vlaams Gewest
2480,Dessel,Antwerpen,Vlaams Gewest
2490,Balen,Antwerpen,Vlaams Gewest
2491,Balen,Antwerpen,Vlaams Gewest
2500,Lier,Antwerpen,Vlaams Gewest
2520,Ranst,Antwerpen,Vlaams Gewest
2530,Boechout,Antwerpen,Vlaams Gewest
2531,Boechout,Antwerpen,Vlaams Gewest
2540,Hove,Antwerpen,Vlaams Gewest
2547,Lint,Antwerpen,Vlaams Gewest
2550,Kontich,Antwerpen,Vlaams Gewest
2560,Nijlen,Antwerpen,Vlaams Gewest
2570,Duffel,Antwerpen,Vlaams Gewest
2580,Putte,Antwerpen,Vlaams Gewest
2590,Berlaar,Antwerpen,Vlaams Gewest
2600,Antwerpen,Antwerpen,Vlaams Gewest
2610,Antwerpen,Antwerpen,Vlaams Gewest
2620,Hemiksem,Antwerpen,Vlaams Gewest
2627,Schelle,Antwerpen,Vlaams Gewest
2630,Aartselaar,Antwerpen,Vlaams Gewest
2640,Mortsel,Antwerpen,Vlaams Gewest
2650,Edegem,Antwerpen,Vlaams Gewest
2660,Antwerpen,Antwerpen,Vlaams Gewest
2800,Mechelen,Antwerpen,Vlaams Gewest
2801,Mechelen,Antwerpen,Vlaams Gewest
2811,Mechelen,Antwerpen,Vlaams Gewest
2812,Mechelen,Antwerpen,Vlaams Gewest
2820,Bonheiden,Antwerpen,Vlaams Gewest
2830,Willebroek,Antwerpen,Vlaams Gewest
2840,Rumst,Antwerpen,Vlaams Gewest
2845,Niel,Antwerpen,Vlaams Gewest
2850,Boom,Antwerpen,Vlaams Gewest
2860,Sint-Katelijne-Waver,Antwerpen,Vlaams Gewest
2861,Sint-Katelijne-Waver,Antwerpen,Vlaams Gewest
2870,Puurs-Sint-Amands,Antwerpen,Vlaams Gewest
2880,Bornem,Antwerpen,Vlaams Gewest
2890,Puurs-Sint-Amands,Antwerpen,Vlaams Gewest
2900,Schoten,Antwerpen,Vlaams Gewest
2910,Essen,Antwerpen,Vlaams Gewest
2920,Kalmthout,Antwerpen,Vlaams Gewest
2930,Brasschaat,Antwerpen,Vlaams Gewest
2940,Stabroek,Antwerpen,Vlaams Gewest
2950,Kapellen,Antwerpen,Vlaams Gewest
2960,Brecht,Antwerpen,Vlaams Gewest
2970,Schilde,Antwerpen,Vlaams Gewest
2980,Zoersel,Antwerpen,Vlaams Gewest
2990,Wuustwezel,Antwerpen,Vlaams Gewest
3000,Leuven,Vlaams-Brabant,Vlaams Gewest
3001,Leuven,Vlaams-Brabant,Vlaams Gewest
3010,Leuven,Vlaams-Brabant,Vlaams Gewest
3012,Leuven,Vlaams-Brabant,Vlaams Gewest
3018,Leuven,Vlaams-Brabant,Vlaams Gewest
3020,Herent,Vlaams-Brabant,Vlaams Gewest
3040,Huldenberg,Vlaams-Brabant,Vlaams Gewest
3050,Oud-Heverlee,Vlaams-Brabant,Vlaams Gewest
3051,Oud-Heverlee,Vlaams-Brabant,Vlaams Gewest
3052,Oud-Heverlee,Vlaams-Brabant,Vlaams Gewest
3053,Oud-Heverlee,Vlaams-Brabant,Vlaams Gewest
3054,Oud-Heverlee,Vlaams-Brabant,Vlaams Gewest
3060,Bertem,Vlaams-Brabant,Vlaams Gewest
3061,Bertem,Vlaams-Brabant,Vlaams Gewest
3070,Kortenberg,Vlaams-Brabant,Vlaams Gewest
3071,Kortenberg,Vlaams-Brabant,Vlaams Gewest
3078,Kortenberg,Vlaams-Brabant,Vlaams Gewest
3080,Tervuren,Vlaams-Brabant,Vlaams Gewest
3090,Overijse,Vlaams-Brabant,Vlaams Gewest
3110,Rotselaar,Vlaams-Brabant,Vlaams Gewest
3111,Rotselaar,Vlaams-Brabant,Vlaams Gewest
3118,Rotselaar,Vlaams-Brabant,Vlaams Gewest
3120,Tremelo,Vlaams-Brabant,Vlaams Gewest
3128,Tremelo,Vlaams-Brabant,Vlaams Gewest
3130,Begijnendijk,Vlaams-Brabant,Vlaams Gewest
3140,Keerbergen,Vlaams-Brabant,Vlaams Gewest
3150,Haacht,Vlaams-Brabant,Vlaams Gewest
3190,Boortmeerbeek,Vlaams-Brabant,Vlaams Gewest
3191,Boortmeerbeek,Vlaams-Brabant,Vlaams Gewest
3200,Aarschot,Vlaams-Brabant,Vlaams Gewest
3201,Aarschot,Vlaams-Brabant,Vlaams Gewest
3202,Aarschot,Vlaams-Brabant,Vlaams Gewest
3210,Lubbeek,Vlaams-Brabant,Vlaams Gewest
3211,Lubbeek,Vlaams-Brabant,Vlaams Gewest
3212,Lubbeek,Vlaams-Brabant,Vlaams Gewest
3220,Holsbeek,Vlaams-Brabant,Vlaams Gewest
3221,Holsbeek,Vlaams-Brabant,Vlaams Gewest
3270,Scherpenheuvel-Zichem,Vlaams-Brabant,Vlaams Gewest
3271,Scherpenheuvel-Zichem,Vlaams-Brabant,Vlaams Gewest
3272,Scherpenheuvel-Zichem,Vlaams-Brabant,Vlaams Gewest
3290,Diest,Vlaams-Brabant,Vlaams Gewest
3293,Diest,Vlaams-Brabant,Vlaams Gewest
3294,Diest,Vlaams-Brabant,Vlaams Gewest
3300,Tienen,Vlaams-Brabant,Vlaams Gewest
3320,Hoegaarden,Vlaams-Brabant,Vlaams Gewest
3321,Hoegaarden,Vlaams-Brabant,Vlaams Gewest
3350,Linter,Vlaams-Brabant,Vlaams Gewest
3360,Bierbeek,Vlaams-Brabant,Vlaams Gewest
3370,Boutersem,Vlaams-Brabant,Vlaams Gewest
3380,Glabbeek,Vlaams-Brabant,Vlaams Gewest
3381,Glabbeek,Vlaams-Brabant,Vlaams Gewest
3384,Glabbeek,Vlaams-Brabant,Vlaams Gewest
3390,Tielt-Winge,Vlaams-Brabant,Vlaams Gewest
3391,Tielt-Winge,Vlaams-Brabant,Vlaams Gewest
3400,Landen,Vlaams-Brabant,Vlaams Gewest
3401,Landen,Vlaams-Brabant,Vlaams Gewest
3404,Landen,Vlaams-Brabant,Vlaams Gewest
3440,Zoutleeuw,Vlaams-Brabant,Vlaams Gewest
3450,Geetbets,Vlaams-Brabant,Vlaams Gewest
3454,Geetbets,Vlaams-Brabant,Vlaams Gewest
3460,Bekkevoort,Vlaams-Brabant,Vlaams Gewest
3461,Bekkevoort,Vlaams-Brabant,Vlaams Gewest
3470,Kortenaken,Vlaams-Brabant,Vlaams Gewest
3471,Kortenaken,Vlaams-Brabant,Vlaams Gewest
3472,Kortenaken,Vlaams-Brabant,Vlaams Gewest
3473,Kortenaken,Vlaams-Brabant,Vlaams Gewest
3500,Hasselt,Limburg,Vlaams Gewest
3501,Hasselt,Limburg,Vlaams Gewest
3510,Hasselt,Limburg,Vlaams Gewest
3511,Hasselt,Limburg,Vlaams Gewest
3512,Hasselt,Limburg,Vlaams Gewest
3520,Zonhoven,Limburg,Vlaams Gewest
3530,Houthalen-Helchteren,Limburg,Vlaams Gewest
3540,Herk-de-Stad,Limburg,Vlaams Gewest
3545,Halen,Limburg,Vlaams Gewest
3550,Heusden-Zolder,Limburg,Vlaams Gewest
3560,Lummen,Limburg,Vlaams Gewest
3570,Alken,Limburg,Vlaams Gewest
3580,Beringen,Limburg,Vlaams Gewest
3581,Beringen,Limburg,Vlaams Gewest
3582,Beringen,Limburg,Vlaams Gewest
3583,Beringen,Limburg,Vlaams Gewest
3590,Diepenbeek,Limburg,Vlaams Gewest
3600,Genk,Limburg,Vlaams Gewest
3620,Lanaken,Limburg,Vlaams Gewest
3621,Lanaken,Limburg,Vlaams Gewest
3630,Maasmechelen,Limburg,Vlaams Gewest
3631,Maasmechelen,Limburg,Vlaams Gewest
3640,Kinrooi,Limburg,Vlaams Gewest
3650,Dilsen-Stokkem,Limburg,Vlaams Gewest
3660,Oudsbergen,Limburg,Vlaams Gewest
3665,As,Limburg,Vlaams Gewest
3668,As,Limburg,Vlaams Gewest
3670,Oudsbergen,Limburg,Vlaams Gewest
3680,Maaseik,Limburg,Vlaams Gewest
3690,Zutendaal,Limburg,Vlaams Gewest
3700,Tongeren,Limburg,Vlaams Gewest
3717,Herstappe,Limburg,Vlaams Gewest
3720,Kortessem,Limburg,Vlaams Gewest
3721,Kortessem,Limburg,Vlaams Gewest
3722,Kortessem,Limburg,Vlaams Gewest
3723,Kortessem,Limburg,Vlaams Gewest
3724,Kortessem,Limburg,Vlaams Gewest
3730,Hoeselt,Limburg,Vlaams Gewest
3732,Hoeselt,Limburg,Vlaams Gewest
3740,Bilzen,Limburg,Vlaams Gewest
3742,Bilzen,Limburg,Vlaams Gewest
3746,Bilzen,Limburg,Vlaams Gewest
3770,Riemst,Limburg,Vlaams Gewest
3790,Voeren,Limburg,Vlaams Gewest
3791,Voeren,Limburg,Vlaams Gewest
3792,Voeren,Limburg,Vlaams Gewest
3793,Voeren,Limburg,Vlaams Gewest
3798,Voeren,Limburg,Vlaams Gewest
3800,Sint-Truiden,Limburg,Vlaams Gewest
3803,Sint-Truiden,Limburg,Vlaams Gewest
3806,Sint-Truiden,Limburg,Vlaams Gewest
3830,Wellen,Limburg,Vlaams Gewest
3831,Wellen,Limburg,Vlaams Gewest
3832,Wellen,Limburg,Vlaams Gewest
3840,Borgloon,Limburg,Vlaams Gewest
3850,Nieuwerkerken,Limburg,Vlaams Gewest
3870,Heers,Limburg,Vlaams Gewest
3890,Gingelom,Limburg,Vlaams Gewest
3891,Gingelom,Limburg,Vlaams Gewest
3900,Pelt,Limburg,Vlaams Gewest
3910,Pelt,Limburg,Vlaams Gewest
3920,Lommel,Limburg,Vlaams Gewest
3930,Hamont-Achel,Limburg,Vlaams Gewest
3940,Hechtel-Eksel,Limburg,Vlaams Gewest
3941,Hechtel-Eksel,Limburg,Vlaams Gewest
3945,Ham,Limburg,Vlaams Gewest
3950,Bocholt,Limburg,Vlaams Gewest
3960,Bree,Limburg,Vlaams Gewest
3970,Leopoldsburg,Limburg,Vlaams Gewest
3971,Leopoldsburg,Limburg,Vlaams Gewest
3980,Tessenderlo,Limburg,Vlaams Gewest
3990,Peer,Limburg,Vlaams Gewest
4000,Liège,,Waals Gewest
4020,Liège,,Waals Gewest
4030,Liège,,Waals Gewest
4031,Liège,,Waals Gewest
4032,Liège,,Waals Gewest
4040,Herstal,,Waals Gewest
4041,Herstal,,Waals Gewest
4042,Herstal,,Waals Gewest
4050,Chaudfontaine,,Waals Gewest
4051,Chaudfontaine,,Waals Gewest
4052,Chaudfontaine,,Waals Gewest
4053,Chaudfontaine,,Waals Gewest
4099,Awans,,Waals Gewest
4100,Seraing,,Waals Gewest
4101,Seraing,,Waals Gewest
4102,Seraing,,Waals Gewest
4120,Neupré,,Waals Gewest
4121,Neupré,,Waals Gewest
4122,Neupré,,Waals Gewest
4130,Esneux,,Waals Gewest
4140,Sprimont,,Waals Gewest
4141,Sprimont,,Waals Gewest
4160,Anthisnes,,Waals Gewest
4161,Anthisnes,,Waals Gewest
4162,Anthisnes,,Waals Gewest
4163,Anthisnes,,Waals Gewest
4170,Comblain-au-Pont,,Waals Gewest
4171,Comblain-au-Pont,,Waals Gewest
4180,Hamoir,,Waals Gewest
4181,Hamoir,,Waals Gewest
4190,Ferrières,,Waals Gewest
4210,Burdinne,,Waals Gewest
4217,Héron,,Waals Gewest
4218,Héron,,Waals Gewest
4219,Wasseiges,,Waals Gewest
4250,Geer,,Waals Gewest
4252,Geer,,Waals Gewest
4253,Geer,,Waals Gewest
4254,Geer,,Waals Gewest
4257,Berloz,,Waals Gewest
4260,Braives,,Waals Gewest
4261,Braives,,Waals Gewest
4263,Braives,,Waals Gewest
4280,Hannut,,Waals Gewest
4287,Lincent,,Waals Gewest
4300,Waremme,,Waals Gewest
4317,Faimes,,Waals Gewest
4340,Awans,,Waals Gewest
4342,Awans,,Waals Gewest
4347,Fexhe-le-Haut-Clocher,,Waals Gewest
4350,Remicourt,,Waals Gewest
4351,Remicourt,,Waals Gewest
4357,Donceel,,Waals Gewest
4360,Oreye,,Waals Gewest
4367,Crisnée,,Waals Gewest
4400,Flémalle,,Waals Gewest
4420,Saint-Nicolas,,Waals Gewest
4430,Ans,,Waals Gewest
4431,Ans,,Waals Gewest
4432,Ans,,Waals Gewest
4450,Juprelle,,Waals Gewest
4451,Juprelle,,Waals Gewest
4452,Juprelle,,Waals Gewest
4453,Juprelle,,Waals Gewest
4458,Juprelle,,Waals Gewest
4460,Grâce-Hollogne,,Waals Gewest
4470,Saint-Georges-sur-Meuse,,Waals Gewest
4480,Engis,,Waals Gewest
4500,Huy,,Waals Gewest
4520,Wanze,,Waals Gewest
4530,Villers-le-Bouillet,,Waals Gewest
4537,Verlaine,,Waals Gewest
4540,Amay,,Waals Gewest
4550,Nandrin,,Waals Gewest
4557,Tinlot,,Waals Gewest
4560,Clavier,,Waals Gewest
4570,Marchin,,Waals Gewest
4577,Modave,,Waals Gewest
4590,Ouffet,,Waals Gewest
4600,Visé,,Waals Gewest
4601,Visé,,Waals Gewest
4602,Visé,,Waals Gewest
4606,Dalhem,,Waals Gewest
4607,Dalhem,,Waals Gewest
4608,Dalhem,,Waals Gewest
4610,Beyne-Heusay,,Waals Gewest
4620,Fléron,,Waals Gewest
4621,Fléron,,Waals Gewest
4623,Fléron,,Waals Gewest
4624,Fléron,,Waals Gewest
4630,Soumagne,,Waals Gewest
4631,Soumagne,,Waals Gewest
4632,Soumagne,,Waals Gewest
4633,Soumagne,,Waals Gewest
4650,Herve,,Waals Gewest
4651,Herve,,Waals Gewest
4652,Herve,,Waals Gewest
4653,Herve,,Waals Gewest
4654,Herve,,Waals Gewest
4670,Blegny,,Waals Gewest
4671,Blegny,,Waals Gewest
4672,Blegny,,Waals Gewest
4680,Oupeye,,Waals Gewest
4681,Oupeye,,Waals Gewest
4682,Oupeye,,Waals Gewest
4683,Oupeye,,Waals Gewest
4684,Oupeye,,Waals Gewest
4690,Bassenge,,Waals Gewest
4700,Eupen,,Waals Gewest
4701,Eupen,,Waals Gewest
4710,Lontzen,,Waals Gewest
4711,Lontzen,,Waals Gewest
4720,La Calamine,,Waals Gewest
4721,La Calamine,,Waals Gewest
4728,La Calamine,,Waals Gewest
4730,Raeren,,Waals Gewest
4731,Raeren,,Waals Gewest
4750,Butgenbach,,Waals Gewest
4760,Bullange,,Waals Gewest
4761,Bullange,,Waals Gewest
4770,Amblève,,Waals Gewest
4771,Amblève,,Waals Gewest
4780,Saint-Vith,,Waals Gewest
4782,Saint-Vith,,Waals Gewest
4783,Saint-Vith,,Waals Gewest
4784,Saint-Vith,,Waals Gewest
4790,Burg-Reuland,,Waals Gewest
4791,Burg-Reuland,,Waals Gewest
4800,Verviers,,Waals Gewest
4801,Verviers,,Waals Gewest
4802,Verviers,,Waals Gewest
4820,Dison,,Waals Gewest
4821,Dison,,Waals Gewest
4830,Limbourg,,Waals Gewest
4831,Limbourg,,Waals Gewest
4834,Limbourg,,Waals Gewest
4837,Baelen,,Waals Gewest
4840,Welkenraedt,,Waals Gewest
4841,Welkenraedt,,Waals Gewest
4845,Jalhay,,Waals Gewest
4850,Plombières,,Waals Gewest
4851,Plombières,,Waals Gewest
4852,Plombières,,Waals Gewest
4860,Pepinster,,Waals Gewest
4861,Pepinster,,Waals Gewest
4870,Olne,,Waals Gewest
4877,Olne,,Waals Gewest
4880,Aubel,,Waals Gewest
4890,Thimister-Clermont,,Waals Gewest
4900,Spa,,Waals Gewest
4910,Theux,,Waals Gewest
4920,Aywaille,,Waals Gewest
4950,Waimes,,Waals Gewest
4960,Malmedy,,Waals Gewest
4970,Stavelot,,Waals Gewest
4980,Trois-Ponts,,Waals Gewest
4983,Trois-Ponts,,Waals Gewest
4987,Stoumont,,Waals Gewest
4990,Lierneux,,Waals Gewest
5000,Namur,,Waals Gewest
5001,Namur,,Waals Gewest
5002,Namur,,Waals Gewest
5003,Namur,,Waals Gewest
5004,Namur,,Waals Gewest
5010,Namur,,Waals Gewest
5012,Namur,,Waals Gewest
5020,Namur,,Waals Gewest
5021,Namur,,Waals Gewest
5022,Namur,,Waals Gewest
5024,Namur,,Waals Gewest
5030,Gembloux,,Waals Gewest
5031,Gembloux,,Waals Gewest
5032,Gembloux,,Waals Gewest
5060,Sambreville,,Waals Gewest
